Instrumento financeiro;Emissor;Código IF;Quantidade negociada;Preço negócio;Volume financeiro (R$);Taxa negócio;Origem negócio;Horário negócio;Data negócio;Cód. identificador do negócio;Código ISIN;Data liquidação;Situação negócio
LF;ITAU UNIBANCO S.A.;LF002500R3B;55;54729,53116;3010124,21;-;Registro;18:44:37;13/08/2026;#2026081347960568;-;13/08/2026;Confirmado
LFSC;BANCO XP S/A;LFSC2500BF5;1;317981,1212;317981,12;-;Registro;11:57:39;13/08/2026;#2026081346328741;BRBCXPLFIQR4;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC22002DD;3;349530,3182;1048590,95;-;Registro;15:48:26;13/08/2026;#2026081347293856;BRITUBLFI1J0;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC25009EX;2;344200,5177;688401,04;-;Registro;16:10:08;13/08/2026;#2026081347370865;BRITUBLFI258;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF0024013YO;11;62453,23732;686985,61;-;Registro;18:44:37;13/08/2026;#2026081347960543;-;13/08/2026;Confirmado
LF;BANCO AGIBANK S/A;LF0025001UP;44;63458,33142;2792166,58;-;Registro;10:05:41;13/08/2026;#2026081345567645;BRAGBKLFI1Z1;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002500R3B;55;54729,53116;3010124,21;-;Registro;18:44:37;13/08/2026;#2026081347960567;-;13/08/2026;Confirmado
LF;BANCO STELLANTIS S.A.;LF002400V0Z;1;63575,72224;63575,72;-;Registro;14:21:46;13/08/2026;#2026081346933353;BRBFIALFI697;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC22002DG;6;349530,3182;2097181,91;-;Registro;15:48:26;13/08/2026;#2026081347293841;BRITUBLFI1J0;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC22002DF;11;349530,3182;3844833,5;-;Registro;15:48:25;13/08/2026;#2026081347293653;BRITUBLFI1J0;13/08/2026;Confirmado
LF;BANCO STELLANTIS S.A.;LF002400V0Z;1;63575,72224;63575,72;-;Registro;14:38:01;13/08/2026;#2026081346978044;BRBFIALFI697;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC22002DF;11;349519,8324;3844718,16;-;Registro;15:48:32;13/08/2026;#2026081347294095;BRITUBLFI1J0;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC2500672;4;309525,7615;1238103,05;-;Registro;16:10:08;13/08/2026;#2026081347370863;BRITUBLFI233;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002500APP;23;71961,85253;1655122,61;-;Registro;18:44:37;13/08/2026;#2026081347960564;-;13/08/2026;Confirmado
